symbol,full_name,asset_class,phrase,phrase_variants,naive_polarity,actual_direction,reason,confidence,status,source
SUGAR,Sugar No. 11 (SB — ICE),agricultural,Chinese consumption growth,"{""demand surge China"",""rising Asian consumption""}",positive,bearish,"Chinese demand growth is typically met by domestic beet and cane production increases and strategic reserves releases, failing to support global prices.",0.71,hypothesis,system-haiku
USDCAD,US Dollar / Canadian Dollar,forex,oil rally,{},positive,bearish,Higher oil = stronger CAD = lower USD/CAD,0.80,active,human
USDCAD,US Dollar / Canadian Dollar,forex,oil falls,{},negative,bullish,Lower oil = weaker CAD = higher USD/CAD,0.80,active,human
USDCAD,US Dollar / Canadian Dollar,forex,US-Canada trade tensions,"{""tariff threats on Canada"",""trade war escalation"",""protectionist measures""}",negative,bullish,"Trade friction between US and Canada reduces cross-border capital flows and Canadian export demand, weakening CAD; simultaneously, uncertainty pushes capital into USD as the global safe-haven currency.",0.75,hypothesis,system-haiku
USDCAD,US Dollar / Canadian Dollar,forex,US economic strength,"{""strong US GDP"",""US growth accelerates"",""robust US data""}",positive,bearish,"Strong US economy prompts Fed rate hikes, but stronger growth also reduces USD safe-haven demand and encourages risk-on sentiment, which favors CAD as investors rotate into higher-yielding assets and commodities.",0.72,hypothesis,system-haiku
USDCAD,US Dollar / Canadian Dollar,forex,equity market rally,"{""stock market surge"",""risk appetite increases"",""equity optimism""}",positive,bearish,Strong equity markets reduce safe-haven demand for USD and encourage capital flows into commodity-linked CAD; risk-on sentiment favors the Canadian dollar as investors reduce USD hedges.,0.70,hypothesis,system-haiku
USDCAD,US Dollar / Canadian Dollar,forex,BoC rate hikes,"{""Bank of Canada tightening"",""Canadian rates rise"",""BoC hiking cycle""}",positive,bearish,"While rate hikes typically support a currency, BoC hikes often signal economic stress or inflation concerns in Canada; if hikes lag Fed moves or signal desperation, CAD weakens relative to USD.",0.68,hypothesis,system-haiku
USDCAD,US Dollar / Canadian Dollar,forex,Canadian inflation spike,"{""CPI surge in Canada"",""inflationary pressures rise"",""higher Canadian prices""}",positive,bearish,"High inflation in Canada signals economic overheating and prompts BoC to hike aggressively, but persistent inflation also erodes real returns and CAD purchasing power, weakening the currency long-term.",0.66,hypothesis,system-haiku
USDCHF,US Dollar / Swiss Franc,forex,risk-off,{},negative,bearish,Safe-haven demand for CHF = USD/CHF falls,0.80,active,human
USDCHF,US Dollar / Swiss Franc,forex,SNB intervention,{},neutral,bullish,SNB buys USD/sells CHF to cap franc strength,0.80,active,human
USDCHF,US Dollar / Swiss Franc,forex,Swiss inflation rises,"{""higher CHF inflation"",""SNB inflation data up"",""Swiss CPI acceleration""}",negative,bullish,"Higher Swiss inflation prompts SNB rate hikes, strengthening CHF and reducing USD/CHF as investors anticipate tighter monetary policy.",0.85,hypothesis,system-haiku
USDCHF,US Dollar / Swiss Franc,forex,US economic strength,"{""strong US GDP"",""robust US employment"",""US growth accelerates""}",positive,bearish,"US economic strength reduces safe-haven demand for CHF; stronger global growth pushes capital away from defensive CHF into risk assets, weakening USD/CHF.",0.82,hypothesis,system-haiku
USDCHF,US Dollar / Swiss Franc,forex,ECB rate hikes,"{""eurozone tightening"",""ECB hawkish stance"",""euro rates rising""}",positive,bearish,"ECB tightening improves EUR/CHF carry trades and reduces EU crisis premium, lowering CHF safe-haven demand and weakening USD/CHF as capital flows to EUR.",0.80,hypothesis,system-haiku
USDCHF,US Dollar / Swiss Franc,forex,Fed rate cut signals,"{""US monetary easing"",""Fed dovish pivot"",""lower US rates expected""}",negative,bullish,"Fed rate cut expectations strengthen safe-haven CHF as lower US yields reduce carry appeal; USD weakens relative to defensive CHF, pushing USD/CHF higher.",0.78,hypothesis,system-haiku
USDCHF,US Dollar / Swiss Franc,forex,Swiss franc weakness,"{""CHF depreciation"",""franc selling pressure"",""CHF underperformance""}",negative,bullish,"Temporary CHF weakness often triggers SNB jawboning or intervention to support the currency, creating upward momentum that reverses initial weakness in USD/CHF.",0.75,hypothesis,system-haiku
USDJPY,US Dollar / Japanese Yen,forex,risk-off,{},negative,bearish,"Risk-off flows into yen (safe haven), USD/JPY falls",0.80,active,human
USDJPY,US Dollar / Japanese Yen,forex,BOJ tightening,{},positive,bearish,Narrowing rate differential weakens USD vs JPY,0.80,active,human
USDJPY,US Dollar / Japanese Yen,forex,carry trade unwind,{},negative,bearish,Unwinding yen carry = buying yen = USD/JPY falls,0.80,active,human
USDJPY,US Dollar / Japanese Yen,forex,BOJ yield target raise,"{""BOJ lifts YCC band"",""BOJ policy normalization""}",positive,bearish,BOJ raising yield targets signals the end of ultra-loose policy and yen strength ahead; markets front-run yen appreciation before the rate differential actually widens.,0.81,hypothesis,system-haiku
USDJPY,US Dollar / Japanese Yen,forex,US inflation surge,"{""higher US CPI"",""US price pressures rise""}",positive,bearish,"High US inflation forces Fed to pause or cut rates sooner to avoid recession, narrowing the US-Japan rate differential and weakening USD/JPY.",0.78,hypothesis,system-haiku
USDJPY,US Dollar / Japanese Yen,forex,US recession fears,"{""US economic slowdown"",""US growth concerns""}",negative,bullish,"Recession fears in the US trigger safe-haven flows into yen AND force the Fed to pivot dovish faster than the BOJ, widening the rate differential in USD's favor.",0.75,hypothesis,system-haiku
USDJPY,US Dollar / Japanese Yen,forex,Japanese export strength,"{""Japan trade surplus widens"",""Japanese manufacturing boom""}",positive,bearish,"Strong Japanese exports indicate yen weakness was the driver; exporters and BOJ see less need for weak yen, triggering policy normalization expectations and yen appreciation.",0.72,hypothesis,system-haiku
WHEAT,Wheat (ZW — CBOT),agricultural,Black Sea corridor,{},positive,bearish,Export corridor open = more supply reaching market,0.80,active,human
WHEAT,Wheat (ZW — CBOT),agricultural,Russia export ban,{},negative,bullish,Russia is world's largest wheat exporter — ban tightens supply,0.80,active,human
WHEAT,Wheat (ZW — CBOT),agricultural,large global harvest,"{""record wheat production"",""bumper crop worldwide"",""abundant global supply""}",positive,bearish,"Oversupply from large harvests depresses prices as global inventory swells, outweighing any demand benefits.",0.92,hypothesis,system-haiku
WHEAT,Wheat (ZW — CBOT),agricultural,rising fertilizer costs,"{""higher input prices"",""expensive nitrogen prices"",""elevated production costs""}",negative,bullish,"Higher fertilizer costs reduce farmer plantings and yields, constraining supply and supporting prices.",0.88,hypothesis,system-haiku
WHEAT,Wheat (ZW — CBOT),agricultural,improved crop conditions,"{""favorable weather outlook"",""better soil moisture"",""optimal growing conditions""}",positive,bearish,"Better conditions increase yield expectations and planting intentions, raising supply forecasts that pressure prices lower.",0.87,hypothesis,system-haiku
WHEAT,Wheat (ZW — CBOT),agricultural,weak US dollar,"{""declining dollar strength"",""USD depreciation"",""lower dollar index""}",negative,bearish,"Weak dollar makes US wheat less competitive for foreign buyers despite lower USD prices, reducing export demand.",0.85,hypothesis,system-haiku
WHEAT,Wheat (ZW — CBOT),agricultural,food inflation decline,"{""falling food prices"",""lower inflation expectations"",""softening food CPI""}",positive,bearish,"Falling food inflation signals weak demand and oversupply in grain markets, pushing wheat prices down.",0.83,hypothesis,system-haiku
